Song of Songs,1,1,This is Solomon's most beautiful song.
Song of Songs,1,2,"Please kiss me with your lips!
Your love makes me happier than wine does."
Song of Songs,1,3,"You have put perfume on your body.
It has a lovely smell.
The sound of your name causes pleasure everywhere,
like sweet perfume.
All the young women love you!"
Song of Songs,1,4,"Take me away with you. Come quickly.
I want the king to take me into his rooms.
We are very happy!
You make us happy.
We praise your love,
because it is better than wine.
I agree! The young women are right to praise you like that."
Song of Songs,1,5,"Young women of Jerusalem, my skin is dark but I am beautiful.
My skin is dark, like the tents of Kedar.
It is beautiful, like the curtains of King Solomon's tent."
Song of Songs,1,6,"The sun has caused my skin to become dark.
Please do not look at me as if I am strange.
My brothers were angry with me.
They caused me to work outside in the sun.
I took care of the vineyards,
and I could not take care of my own vineyard, my body."
Song of Songs,1,7,"I love you, my dear one.
Tell me where you take your sheep to eat grass.
Where will you take them to rest at midday?
I do not want to look for you everywhere
among the sheep of your friends.
They might not understand what I am doing."
Song of Songs,1,8,"You are the most beautiful woman of all.
If you do not know where to find me,
follow the marks from the feet of my sheep.
Take your young goats to eat grass
among the tents of the shepherds."
Song of Songs,1,9,"My dear friend, you are very beautiful.
You seem to me like a beautiful horse that pulls one of Pharaoh's chariots."
Song of Songs,1,10,"Your face is beautiful with jewels.
A necklace makes your neck beautiful too."
Song of Songs,1,11,"We will use gold to make ear rings for you,
and we will add pieces of silver."
Song of Songs,1,12,"While the king was eating a meal,
the sweet smell of my perfume was in the air."
Song of Songs,1,13,"My lover is like a bag of myrrh
that lies between my breasts."
Song of Songs,1,14,"He is like a group of henna flowers
that grow in the vineyards at En Gedi."
Song of Songs,1,15,"My dear friend, I see that you are very beautiful!
Yes, you are beautiful
and your eyes are like doves."
Song of Songs,1,16,"My lover, I see that you are very handsome!
Yes, you are lovely!
This field of fresh, green grass is our comfortable bed."
Song of Songs,1,17,"The cedar trees above us are the beams of our bedroom.
The pine trees cover us like a roof."
Song of Songs,2,1,"I am a wild flower of Sharon.
I am a lily from the valleys."
Song of Songs,2,2,"Among the other young women,
my dear friend is like a lily
that grows among thorn bushes."
Song of Songs,2,3,"Among the other young men,
my lover is like an apple tree
that grows among the trees of the forest.
I love to sit in his shade.
His fruit is sweet when I taste it."
Song of Songs,2,4,"He has taken me to the room for feasts.
Everyone can see that he loves me."
Song of Songs,2,5,"I am weak with love.
So give me raisins to make me strong.
Give me apples to me to keep me awake."
Song of Songs,2,6,"His left hand is under my head.
His right hand brings me near to him."
Song of Songs,2,7,"Promise this to me, young women of Jerusalem:
Do not cause our love to wake up.
Do not cause it to become too strong
until the time is right.
The gazelles and the wild deer will know about your promise."
Song of Songs,2,8,"Listen! I hear the voice of my lover!
Look! He is coming!
He moves quickly across the mountains.
He runs across the hills."
Song of Songs,2,9,"My lover is like a gazelle or a young male deer.
Look! There he is!
He is standing behind our wall.
He is looking through the window.
He wants to see into the room."
Song of Songs,2,10,"My lover said this to me:
‘My beautiful friend, I love you.
Get up now and come with me."
Song of Songs,2,11,"Look! The winter time has finished.
The heavy rains have stopped."
Song of Songs,2,12,"Flowers are appearing everywhere.
It is now the season to sing happy songs.
We can hear the voices of doves around us."
Song of Songs,2,13,"New fruit is growing on the fig trees.
There are flowers on the vines,
and their sweet smell is in the air.
I love you, my beautiful friend.
Please get up now and come with me!’"
Song of Songs,2,14,"My dear friend, you are like a dove that is hiding among the rocks.
You hide from me in the mountains.
Show your face to me
because it is lovely.
Let me hear your voice
because it has a sweet sound."
Song of Songs,2,15,"Catch the foxes for us!
Our vines now have flowers
and they will soon give us fruit.
So catch the little foxes before they destroy our vineyards."
Song of Songs,2,16,"My lover belongs to me,
and I belong to him.
He moves among the lilies with his sheep."
Song of Songs,2,17,"Turn back to me, my lover.
Stay until dawn comes and the shadows have gone,
Be like a gazelle or a young male deer
that plays among the mountains' rocks."
Song of Songs,3,1,"All night I lay on my bed.
I wanted my lover to come to me.
I looked for him but he did not appear."
Song of Songs,3,2,"I thought, ‘I will get up now and I will go into the city.
I will look everywhere for my lover.
I will look in all the streets.
I will look in all the market places.’
So I looked for him,
but I did not find him."
Song of Songs,3,3,"The city guards found me
as they walked in the streets of the city.
I asked them,
‘Have you seen the man that I love?’"
Song of Songs,3,4,"Just then, as I left them, I found my lover!
I hugged him and I would not let him go.
I took him to my mother's house.
I took him into my mother's bedroom.
That is where my life started, inside my mother's body."
Song of Songs,3,5,"Promise this to me, young women of Jerusalem:
Do not cause our love to wake up.
Do not cause it to become too strong
until the time is right.
The gazelles and the wild deer will know about your promise."
Song of Songs,3,6,"Who is this who is coming from the desert?
It seems that smoke is rising into the air!
There is a lovely smell of myrrh and incense.
It is the smell of all the spices that a trader sells."
Song of Songs,3,7,"Look! They are carrying King Solomon on a throne!
60 soldiers are travelling with it.
They are Israel's bravest soldiers."
Song of Songs,3,8,"All of them have swords.
They all know how to fight well.
Their swords are ready for them to use.
They are ready for any danger that comes in the night."
Song of Songs,3,9,"King Solomon made the throne for himself.
He used wood from Lebanon to make it."
Song of Songs,3,10,"He used silver to make the posts for it.
He used gold to make its back.
Its seat has valuable purple cloth to cover it.
The young women of Jerusalem made it beautiful inside,
to show their love."
Song of Songs,3,11,"Young women of Zion,
come out to see King Solomon!
He is wearing his crown.
His mother put the crown on him on his wedding day.
It was the happiest day of his life!"
Song of Songs,4,1,"My dear friend, how beautiful you are!
Yes, you are very beautiful!
Your eyes behind your veil are like doves.
Your hair is like a group of goats
that are coming down from Mount Gilead."
Song of Songs,4,2,"Your teeth are very white like a group of sheep.
They are like sheep after someone has cut off their dirty wool
and they are coming from the pool of water.
Each tooth is one of a pair.
Not one of them is alone."
Song of Songs,4,3,"Your lips are like bright red strings.
Your mouth is lovely.
The sides of your face are beautiful,
like the halves of a pomegranate.
I see them through your veil."
Song of Songs,4,4,"Your neck is like the great tower of King David.
It is round and strong.
Your necklace is like the shields of 1,000 brave soldiers
that hang from the stones of the tower."
Song of Songs,4,5,"Your breasts are perfect,
like two young gazelles that are twins.
They feed themselves among the lilies."
Song of Songs,4,6,"I will go to the mountain of myrrh
and the hill of frankincense.
I will stay among them until the dawn comes
and the shadows go away."
Song of Songs,4,7,"You are completely beautiful, my dear friend.
Your body is perfect in every way."
Song of Songs,4,8,"Come with me from Lebanon, my bride.
Yes, come with me from Lebanon.
Come down from the top of Amana, from the top of Senir.
Come down from the highest part of Hermon.
Come away from those mountains where lions live,
and where there are leopards."
Song of Songs,4,9,"I love you so much that I never want to leave you,
my sister and my bride.
When you looked at me only once
and I saw one jewel in your necklace,
I knew that I could never leave you."
Song of Songs,4,10,"Your love for me is wonderful,
my sister and my bride.
I enjoy your love even more than I enjoy wine.
Your perfume has a smell
that is more lovely than any spice!"
Song of Songs,4,11,"Your lips taste very sweet to me, my bride.
They taste like honey that falls from the honeycomb.
Milk and honey are under your tongue.
The smell of your clothes
is like the cedar trees of Lebanon."
Song of Songs,4,12,"My sister and my bride, you are like a garden for me
that is locked to other men.
You are like a spring or a fountain
that other people may not drink water from."
Song of Songs,4,13,"Your body is like a special garden.
It is full of pomegranate trees with their sweet fruit.
There are wonderful fruits to enjoy.
There are also henna and nard."
Song of Songs,4,14,"There are nard, saffron, calamus, cinnamon
and many different spices.
There are myrrh, aloes
and all the best spices."
Song of Songs,4,15,"You are like a spring of water in a garden.
You are like a well that has fresh water.
The water runs down from Lebanon's mountains."
Song of Songs,4,16,"Wake up, north wind! Come now, south wind!
Blow on my garden!
Make the sweet smell of its spices move in the air.
May my lover come into his garden now!
Let him taste its wonderful fruits!"
Song of Songs,5,1,"I have come into my garden, my sister, my bride.
I have taken my myrrh with my spice.
I have eaten my honeycomb and my honey.
I have drunk my wine and my milk.
Eat, friends, and drink, you who love each other!
Drink until you can drink no more!"
Song of Songs,5,2,"I slept but my mind was awake.
Listen! My lover is knocking on my door!
He said, ‘Open the door for me, my dear friend.
You are my sister,
the perfect one that I love.
To me you are like a beautiful dove.
Dew from the night air covers my head.
My hair is very wet.’"
Song of Songs,5,3,"I said, ‘I have taken off my day clothes.
I do not want to dress myself again.
I have washed my feet.
I do not want them to get dirty again.’"
Song of Songs,5,4,"My lover pushed his hand through the hole in the door.
My heart began to beat faster because he was near."
Song of Songs,5,5,"I got up to open the door for my lover.
My hands were wet with myrrh.
Myrrh dropped from my fingers
onto the handle of the door."
Song of Songs,5,6,"I opened the door for my lover.
But he had already turned away.
He had gone!
I was very upset that he had gone away.
I looked for him but I did not find him.
I called to him but he did not answer me."
Song of Songs,5,7,"The city guards found me
as they walked in the streets of the city.
They beat me and they hurt my body.
Those guards on the city walls took away my robe."
