1 John,1,1,"That which was from the beginning, which we have heard, which we have seen with our eyes, which we have looked upon, and our hands have handled, of the Word of life;"
1 John,1,2,"(For the life was manifested, and we have seen [it] , and bear witness, and show unto you that eternal life, which was with the Father, and was manifested unto us;)"
1 John,1,3,"That which we have seen and heard declare we unto you, that you 2f also may have fellowship with us: and truly our fellowship [is] with the Father, and with his Son Yeshua [God is Salvation] Moshiach [Messiah]."
1 John,1,4,"And these things write we unto you, that your joy may be full."
1 John,1,5,"This then is the message which we have heard of him, and declare unto you, that God-The Father is light, and in him is no darkness at all."
1 John,1,6,"If we say that we have fellowship with him, and walk in darkness, we lie, and do not the truth:"
1 John,1,7,"But if we walk in the light, as he is in the light, we have fellowship one with another, and the blood of Yeshua [God is Salvation] Moshiach [Messiah] His Son cleanses us from all sin."
1 John,1,8,"If we say that we have no sin, we deceive ourselves, and the tis not in us."
1 John,1,9,"If we confess our sins, he is faithful and just to forgive us [our] sins, and to cleanse us from all unrighteousness."
1 John,1,10,"If we say that we have not sinned, we make him a liar, and his word is not in us."
1 John,2,1,"My little children, these things write I unto you, that you 2f sin not. And if any man sin, we have an advocate with the Father, Yeshua [God is Salvation] Moshiach [Messiah] the righteous:"
1 John,2,2,"And he is the Propitiation (sacrifice to pay for sins against God, to satisfy His righteous anger) for our sins: and not for ours only, but also for [the sins of] the whole world."
1 John,2,3,"And hereby we do know that we know him, if we keep his commandments."
1 John,2,4,"He that says, I know him, and keeps not his commandments, is a liar, and the tis not in him."
1 John,2,5,"But whoso keeps his word, in him truly is the love of God-The Father perfected: hereby know we that we are in him."
1 John,2,6,"He that says he abides in him ought himself also so to walk, even as he walked."
1 John,2,7,"Brethren, I write no new commandment unto you, but an old commandment which you 2f had from the beginning. The old commandment is the word which you 2f have heard from the beginning."
1 John,2,8,"Again, a new commandment I write unto you, which thing is true in him and in you: because the darkness is past, and the true light now shines."
1 John,2,9,"He that says he is in the light, and hates his brother, is in darkness even until now."
1 John,2,10,"He that loves his brother abides in the light, and there is none occasion of stumbling in him."
1 John,2,11,"But he that hates his brother is in darkness, and walks in darkness, and knows not to which he goes, because that darkness has blinded his eyes."
1 John,2,12,"I write unto you, little children, because your sins are forgiven you for his name’s sake."
1 John,2,13,"I write unto you, fathers, because you 2f have known him [that is] from the beginning. I write unto you, young men, because you 2f have overcome the wicked one. I write unto you, little children, because you 2f have known the Father."
