Song of Songs,1,1,"The song of songs, which [is] Shlomo’s (Solomon) [peace]."
Song of Songs,1,2,Let him kiss me with the kisses of his mouth: for you i love [is] better than wine.
Song of Songs,1,3,"Because of the savour of you i good ointments you i name [is as] ointment poured forth, therefore do the virgins love you i."
Song of Songs,1,4,"Draw me, we will run after you i : the king has brought me into his chambers: we will be glad and rejoice in you i , we will remember you i love more than wine: the upright love you i."
Song of Songs,1,5,"I [am] black, but comely (attractive; proper (one’s own; peculiar; particular); becoming) , O you 2f daughters of Yerushalayim [Foundation of Peace] , as the tents of Kedar [dark] , as the curtains of Shlomo (Solomon) [peace]."
Song of Songs,1,6,"Look not upon me, because I [am] black, because the sun has looked upon me: my mother’s children were angry with me; they made me the keeper of the vineyards; [but] my own vineyard have I not kept."
Song of Songs,1,7,"Tell me, O you i whom my soul loves, where you i feed, where you i makes [you i flock] to rest at noon: for why should I be as one that turns aside by the flocks of your i companions?"
Song of Songs,1,8,"If you i know not, O you i fairest among women, go your i way forth by the footsteps of the flock, and feed your i kids beside the shepherds’ tents."
Song of Songs,1,9,"I have compared you i , O my love, to a company of horses in Par’oh’s [Pharaoh - Great House] chariots."
Song of Songs,1,10,"Your 1s cheeks are comely (attractive; proper (one’s own; peculiar; particular); becoming) with rows [of jewels] , your i neck with chains [of gold]."
Song of Songs,1,11,We will make your i borders of gold with studs of silver.
Song of Songs,1,12,"While the king [sits] at his table, my spikenard send forth the smell thereof."
Song of Songs,1,13,A bundle of myrrh [is] my wellbeloved unto me; he shall lie all night between my breasts.
Song of Songs,1,14,My beloved [is] unto me [as] a cluster of henna flowers in the vineyards of ‘Ein-Gedi [Fount of the Kid].
Song of Songs,1,15,"Behold, you i [are] fair, my love; behold, you i [are] fair; you i [have] doves’ eyes."
Song of Songs,1,16,"Behold, you i [are] fair, my beloved, yes, pleasant: also our bed [is] green."
Song of Songs,1,17,"The beams of our house [are] cedar, [and] our rafters of fir."
Song of Songs,2,1,"I [am] the rose of Sharon [a plain], [and] the lily of the valleys."
Song of Songs,2,2,"As the lily among thorns, so [is] my love among the daughters."
Song of Songs,2,3,"As the apple tree among the trees of the wood, so [is] my beloved among the sons. I sat down under his shadow with great delight, and his fruit [was] sweet to my taste."
Song of Songs,2,4,"He brought me to the banqueting house, and his banner over me [was] love."
Song of Songs,2,5,"Stay me with raisin cakes, comfort me with apples: for I [am] sick of love."
Song of Songs,2,6,"His left hand [is] under my head, and his right hand does embrace me."
Song of Songs,2,7,"I charge you, O you 2f daughters of Yerushalayim [Foundation of Peace] , by the roes, and by the hinds of the field, that you 2f stir not up, nor awake [my] love, till he please."
Song of Songs,2,8,"The voice of my beloved! behold, he comes leaping upon the mountains, skipping upon the hills."
Song of Songs,2,9,"My beloved is like a roe or a young deer: behold, he stands behind our wall, he looks forth at the windows, showing himself through the lattice."
Song of Songs,2,10,"My beloved spoke, and said unto me, Rise up, my love, my fair one, and come away."
Song of Songs,2,11,"For, lo, the winter is past, the rain is over [and] gone;"
Song of Songs,2,12,"The flowers appear on the earth; the time of the singing [of birds] is come, and the voice of the turtle is heard in our land;"
Song of Songs,2,13,"The fig tree puts forth her green figs, and the vines [with] the tender grape give a [good] smell. Arise, my love, my fair one, and come away."
Song of Songs,2,14,"O my dove, [that are] in the clefts of the rock, in the secret [places] of the stairs, let me see you i Countenance (Face, appearance; show favor) , let me hear you i voice; for sweet [is] you i voice, and you i Countenance (Face, appearance; show favor) [is] comely (attractive; proper (one’s own; peculiar; particular); becoming)."
Song of Songs,2,15,"Take us the foxes, the little foxes, that spoil (plunder; prey; booty) the vines: for our vines [have] tender grapes."
Song of Songs,2,16,"My beloved [is] my, and I [am] his: he feeds among the lilies."
Song of Songs,2,17,"Until the day break, and the shadows flee away, turn, my beloved, and be you i like a roe or a young deer upon the mountains of Beter [cleft (split hoof; an opening, break or split)]."
Song of Songs,3,1,"By night on my bed I sought him whom my soul loves: I sought him, but I found him not."
Song of Songs,3,2,"I will rise now, and go about the city in the streets, and in the broad ways I will seek him whom my soul loves: I sought him, but I found him not."
Song of Songs,3,3,"The watchmen that go about the city found me: [to whom I said] , Saw you 2f him whom my soul loves?"
Song of Songs,3,4," [It was] but a little that I passed from them, but I found him whom my soul loves: I held him, and would not let him go, until I had brought him into my mother’s house, and into the chamber of her that conceived me."
Song of Songs,3,5,"I charge you, O you 2f daughters of Yerushalayim [Foundation of Peace] , by the roes, and by the hinds of the field, that you 2f stir not up, nor awake [my] love, till he please."
